Parameter,Optimal of Male,Optimal of Female,Fitness of Male,Fitness of Female
"(-10,0.2,10,1)",4.999765,-5.000000,-0.001173,-25.000002
"(-10,0.2,10,2)",4.999765,-7.499522,12.495847,-56.248245
"(-10,0.2,10,4)",4.999765,-12.499917,37.496658,-156.241196
"(-10,0.2,10,6)",4.999765,-17.497889,62.485336,-306.229462
"(-10,0.2,10,8)",-608726351872.000000,1481667510272.000000,1272477879367508172996608.000000,-4118171627312151718264832.000000
"(-10,0.2,10,10)",-4686715592395194368.000000,28640602247844069376.000000,156195667936515263653305163990911942656.000000,-inf
"(-10,0.4,-10,0)",10.010329,10.022227,-100.222397,-100.103027
"(-10,0.4,-10,0.2)",9.934096,10.043344,-100.426247,-99.336227
"(-10,0.4,-10,0.4)",10.008275,10.018923,-100.189316,-100.082550
"(-10,0.4,-10,0.6)",9.993292,9.918641,-99.186913,-99.926842
"(-10,0.4,-10,0.8)",10.002894,10.405011,-104.051277,-99.866081
"(-10,0.4,-10,1)",7.671072,5.000665,-56.225834,-24.999998
"(-10,0.4,-10,2)",6.830186,1.526722,-32.078213,-2.508544
"(-10,0.4,-10,4)",6.774496,-4.986180,11.927688,-26.612772
"(-10,0.4,-10,6)",6.605027,-11.981176,56.712097,-132.319611
"(-10,0.4,-10,8)",-29.157946,-18.286001,608.583008,4249.513184
"(-10,0.4,-10,10)",1597675667456.000000,19937879916544.000000,-29301698342081808272719872.000000,684207446568198030606991360.000000
"(-10,0.4,-8,0)",9.171668,8.684574,-87.249214,-73.706795
"(-10,0.4,-8,0.2)",9.315314,8.560666,-86.123360,-74.945618
"(-10,0.4,-8,0.4)",9.317978,8.657482,-87.025291,-74.978088
"(-10,0.4,-8,0.6)",9.270651,8.624196,-86.713455,-74.568718
"(-10,0.4,-8,0.8)",9.308696,8.615308,-86.632423,-74.896210
"(-10,0.4,-8,1)",6.999132,3.999287,-48.995010,-15.999999
"(-10,0.4,-8,2)",6.831127,1.526722,-32.076206,0.546336
"(-10,0.4,-8,4)",6.068270,-7.717252,22.971573,-19.197115
"(-10,0.4,-8,6)",5.358921,-12.636031,42.844322,-77.819923
"(-10,0.4,-8,8)",-95.988487,-19.772619,8275.730469,13834.744141
"(-10,0.4,-8,10)",-49.156586,306.160034,17957.716797,-44163.351562
"(-10,0.4,-6,0)",8.646844,7.343655,-75.199974,-53.632099
"(-10,0.4,-6,0.2)",8.639505,7.508840,-76.626671,-53.543026
"(-10,0.4,-6,0.4)",8.669070,7.322919,-75.020821,-53.795269
"(-10,0.4,-6,0.6)",8.803401,7.513464,-76.678185,-54.772678
"(-10,0.4,-6,0.8)",8.665669,7.232201,-74.234734,-53.760338
"(-10,0.4,-6,1)",6.361077,3.000000,-42.230705,-9.000000
"(-10,0.4,-6,2)",6.607993,1.526722,-32.502922,3.259115
"(-10,0.4,-6,4)",6.474144,-5.672617,13.898438,-43.961720
"(-10,0.4,-6,6)",6.613828,-13.712190,68.294502,-183.153046
"(-10,0.4,-6,8)",5.910750,-62.125916,343.040222,1661.909668
"(-10,0.4,-6,10)",-51.642124,239.909988,15572.791992,-55387.812500
"(-10,0.4,-4,0)",8.053247,6.011060,-64.086235,-36.319950
"(-10,0.4,-4,0.2)",8.119732,5.775473,-62.162567,-36.641094
"(-10,0.4,-4,0.4)",8.069964,6.107859,-64.865524,-36.415699
"(-10,0.4,-4,0.6)",8.013462,5.909530,-63.274841,-36.071369
"(-10,0.4,-4,0.8)",8.109866,5.907289,-63.236053,-36.640415
"(-10,0.4,-4,1)",5.799436,2.000424,-35.962234,-4.000000
"(-10,0.4,-4,2)",6.162129,1.526722,-33.057312,5.631849
"(-10,0.4,-4,4)",6.356838,-6.214731,16.347050,-55.036301
"(-10,0.4,-4,6)",6.513773,-12.534304,58.937122,-200.982101
"(-10,0.4,-4,8)",6.037218,230.717270,-1416.814575,62057.820312
"(-10,0.4,-4,10)",-1062826.750000,710589.687500,1884845113344.000000,-6292169555968.000000
"(-10,0.4,-2,0)",7.326856,4.705194,-54.060024,-21.745817
"(-10,0.4,-2,0.2)",7.334794,4.670570,-53.806404,-21.784582
"(-10,0.4,-2,0.4)",7.309919,4.666509,-53.776077,-21.668516
"(-10,0.4,-2,0.6)",7.333828,4.848310,-55.109921,-21.747181
"(-10,0.4,-2,0.8)",7.333666,4.523791,-52.729973,-21.758869
"(-10,0.4,-2,1)",5.500647,0.999838,-30.249111,-1.000000
"(-10,0.4,-2,2)",5.000159,-1.500119,-17.499166,-2.250238
"(-10,0.4,-2,4)",5.833023,-6.500456,13.611237,-58.495090
"(-10,0.4,-2,6)",5.685107,-11.502404,40.861771,-171.651871
"(-10,0.4,-2,8)",162.844971,-16.728516,27614.189453,-18755.781250
"(-10,0.4,-2,10)",9078.681641,-11791.853516,189386160.000000,-824418944.000000
"(-10,0.4,0,0)",6.683212,3.378744,-44.747662,-11.164950
"(-10,0.4,0,0.2)",6.586260,3.198935,-43.552795,-10.835834
"(-10,0.4,0,0.4)",6.594418,3.466210,-45.315468,-10.843024
"(-10,0.4,0,0.6)",6.680794,3.152688,-43.237392,-11.123016
"(-10,0.4,0,0.8)",6.676494,3.351528,-44.565826,-11.143716
"(-10,0.4,0,1)",5.000429,0.000000,-25.000000,0.000000
"(-10,0.4,0,2)",4.999765,-2.631284,-11.844198,-6.232147
"(-10,0.4,0,4)",4.999765,-7.598727,12.991854,-56.234905
"(-10,0.4,0,6)",4.999765,-12.503325,37.513691,-156.235336
"(-10,0.4,0,8)",4.999765,-17.498215,62.486969,-306.221252
"(-10,0.4,0,10)",159348160.000000,724233408.000000,-90013426373361664.000000,1563161250119024640.000000
"(-10,0.4,2,0)",5.972432,2.012934,-36.076485,-3.944340
"(-10,0.4,2,0.2)",6.038661,2.008056,-36.047153,-4.077570
"(-10,0.4,2,0.4)",6.255919,1.992918,-35.890198,-4.509974
"(-10,0.4,2,0.6)",6.020387,1.999374,-35.995811,-4.040761
"(-10,0.4,2,0.8)",5.778798,2.057342,-36.282436,-3.541624
"(-10,0.4,2,1)",4.999765,-1.000154,-19.999466,-1.000000
"(-10,0.4,2,2)",4.999765,-3.500069,-7.500478,-12.249181
"(-10,0.4,2,4)",4.999765,-8.501918,17.507595,-72.244011
"(-10,0.4,2,6)",4.999765,-13.503133,42.512501,-182.234131
"(-10,0.4,2,8)",4.999765,-18.504284,67.517082,-342.219604
"(-10,0.4,2,10)",-833139.812500,1185606.625000,1681906466816.000000,-7484319203328.000000
"(-10,0.4,4,0)",4.999765,-2.027907,-14.860941,6.139838
"(-10,0.4,4,0.2)",4.999765,-2.027907,-14.860941,6.139838
"(-10,0.4,4,0.4)",4.999765,-2.027907,-14.860941,6.139838
"(-10,0.4,4,0.6)",4.999765,-2.027907,-14.860941,6.139838
"(-10,0.4,4,0.8)",4.999765,-2.027907,-14.860941,6.139838
"(-10,0.4,4,1)",4.999765,-2.000226,-14.999339,-4.000000
"(-10,0.4,4,2)",4.999765,-4.501370,-2.494209,-20.248943
"(-10,0.4,4,4)",4.999765,-9.500620,22.500870,-90.243317
"(-10,0.4,4,6)",4.999765,-14.500871,47.500957,-210.232971
"(-10,0.4,4,8)",4.999765,-19.501091,72.500877,-380.217987
"(-10,0.4,4,10)",-897883.062500,769563.562500,1497181061120.000000,-5626571784192.000000
"(-10,0.4,6,0)",4.999765,-2.027907,-14.860941,2.084024
"(-10,0.4,6,0.2)",4.999765,-2.027907,-14.860941,2.084024
"(-10,0.4,6,0.4)",4.999765,-2.027907,-14.860941,2.084024
"(-10,0.4,6,0.6)",4.999765,-2.027907,-14.860941,2.084024
"(-10,0.4,6,0.8)",4.999765,-2.027907,-14.860941,2.084024
"(-10,0.4,6,1)",4.999765,-3.000000,-10.000701,-9.000000
"(-10,0.4,6,2)",4.999765,-5.499287,2.495143,-30.248713
"(-10,0.4,6,4)",4.999765,-10.500676,27.500917,-110.242607
"(-10,0.4,6,6)",4.999765,-15.501412,52.503429,-240.231796
"(-10,0.4,6,8)",440660.562500,-341441.625000,344637177856.000000,-936638676992.000000
"(-10,0.4,6,10)",-464075.562500,886584.500000,626812911616.000000,-2916942348288.000000
"(-10,0.4,8,0)",4.999765,-5.385013,1.923805,12.842066
"(-10,0.4,8,0.2)",4.999765,-5.385013,1.923805,12.842066
"(-10,0.4,8,0.4)",4.999765,-5.385013,1.923805,12.842066
"(-10,0.4,8,0.6)",4.999765,-5.385013,1.923805,12.842066
"(-10,0.4,8,0.8)",4.999765,-5.385013,1.923805,12.842066
"(-10,0.4,8,1)",4.999765,-4.000367,-4.999107,-16.000002
"(-10,0.4,8,2)",4.999765,-6.501282,7.504883,-42.248478
"(-10,0.4,8,4)",4.999765,-11.500321,32.498913,-132.241898
"(-10,0.4,8,6)",4.999765,-16.500189,57.497074,-272.230652
"(-10,0.4,8,8)",61.667755,67.859787,-998.526245,34441.152344
"(-10,0.4,8,10)",-1165440.625000,1809033.875000,3466585178112.000000,-15702276702208.000000
"(-10,0.4,10,0)",4.999765,-5.385013,1.923805,2.072040
"(-10,0.4,10,0.2)",4.999765,-5.385013,1.923805,2.072040
"(-10,0.4,10,0.4)",4.999765,-5.385013,1.923805,2.072040
"(-10,0.4,10,0.6)",4.999765,-5.385013,1.923805,2.072040
"(-10,0.4,10,0.8)",4.999765,-5.385013,1.923805,2.072040
"(-10,0.4,10,1)",4.999765,-5.000000,-0.001173,-25.000002
"(-10,0.4,10,2)",4.999765,-7.499522,12.495847,-56.248245
"(-10,0.4,10,4)",4.999765,-12.499917,37.496658,-156.241196
"(-10,0.4,10,6)",4.999765,-17.497889,62.485336,-306.229462
"(-10,0.4,10,8)",4159.031250,24521.896484,-84731384.000000,1315480064.000000
"(-10,0.4,10,10)",-12913277952.000000,1632941768704.000000,21253382857887217352704.000000,2476718946563355500871680.000000
"(-10,0.6,-10,0)",10.001219,10.173587,-101.736076,-99.982269
"(-10,0.6,-10,0.2)",10.116180,10.240437,-102.418800,-101.131927
